url,status_code,CMS,category,advertise
http://www.charterfishingsydney.com.au/,200,WordPress,Travel,False
http://www.betking.com.au/,200,WordPress,Not Detection,False
http://www.zodee.com.au/,200,Magento,Lingerie and Swimsuit,
http://www.roxom.com.au/,200,WordPress,Business,False
http://www.crackawines.com.au/,200,Shopify,Alcohol,
http://www.cheesecake.com.au/,200,Magento,Restaurant and Dining,
http://www.insideout.com.au/,200,WordPress,Business,True
http://www.iamnatural.com.au/,200,WordPress,Advertising,False
http://www.redrooster.com.au/,200,WordPress,Business,False
http://www.xenlife.com.au/,200,WordPress,Business,False
http://www.gymandfitness.com.au/,200,Shopify,Business,
http://www.nbnnews.com.au/,200,WordPress,News and Media,False
http://www.whitworths.com.au/,200,Magento,Personal Vehicles,
http://www.esther.com.au/,200,Shopify,Shopping,
http://www.fabness.com.au/,200,Magento,Shopping,
http://www.learntotrade.com.au/,200,WordPress,Finance and Banking,False
http://www.workingholidayjobs.com.au/,200,WordPress,Job Search,False
http://www.taggle.com.au/,200,WordPress,Business,False
http://www.ozzytyres.com.au/,200,Magento,Business,
http://www.mjbseminars.com.au/,200,WordPress,Business,False
http://www.harpercollins.com.au/,200,WordPress,Arts and Culture,False
http://www.travelweekly.com.au/,200,WordPress,News and Media,True
http://www.breakfastwithaudrey.com.au/,200,WordPress,Society and Lifestyles,True
http://www.adultshop.com.au/,200,Magento,Other Adult Materials,
http://www.robotbuildingsupplies.com.au/,200,WordPress,Business,False
http://www.roxyaustralia.com.au/,200,Magento,Shopping,
http://www.biggride.com.au/,200,Shopify,Shopping,
http://www.swimart.com.au/,200,WordPress,Business,False
http://www.dueltek.com.au/,200,Shopify,Business,
http://www.carfinanceaustralia.com.au/,200,WordPress,Finance and Banking,False
http://www.magicmillions.com.au/,200,WordPress,Business,False
http://www.horseland.com.au/,200,Magento,Business,
http://www.iresq.com.au/,200,WordPress,Business,False
http://www.annacampbell.com.au/,200,Squarespace,Business,
http://www.hamiltonsci.com.au/,200,WordPress,Business,False
http://www.joujou.com.au/,200,Shopify,Pornography,
http://www.crawfordrealty.com.au/,200,WordPress,Real Estate,False
http://www.suzannegrae.com.au/,200,Magento,Business,
http://www.f45training.com.au/,200,WordPress,Health and Wellness,False
http://www.vapoureyes.com.au/,200,Shopify,Business,
http://www.motackle.com.au/,200,Magento,Shopping,
http://www.kevinmurphy.com.au/,200,WordPress,Business,False
http://www.insidesmallbusiness.com.au/,200,WordPress,Business,False
http://www.thefinancesite.com.au/,200,WordPress,Business,False
http://www.nationaltiles.com.au/,200,Magento,Business,
http://www.shoesandsox.com.au/,200,Magento,Shopping,
http://www.cleaningcontractorsgeelong.com.au/,200,WordPress,Business,False
http://www.costumes.com.au/,200,Magento,Shopping,
http://www.yonanas.com.au/,200,WordPress,Restaurant and Dining,False
http://www.win-free-stuff.com.au/,200,WordPress,Games,False
http://www.interiorsonline.com.au/,200,Shopify,Business,
http://www.thenavigators.com.au/,200,Squarespace,Business,
http://www.thejojobacompany.com.au/,200,Shopify,Society and Lifestyles,
http://www.oporto.com.au/,200,WordPress,Restaurant and Dining,False
http://www.4mation.com.au/,200,WordPress,Information Technology,False
http://www.techstyles.com.au/,200,WordPress,Personal Websites and Blogs,False
http://www.linenhouse.com.au/,200,Not Detection,Shopping,
http://www.cheapsheds.com.au/,200,Magento,Business,
http://www.themandarin.com.au/,200,WordPress,News and Media,False
http://www.fpmarkets.com.au/,200,Not Detection,Finance and Banking,
http://www.ascolour.com.au/,200,Magento,Shopping,
http://www.creditcard.com.au/,200,WordPress,Finance and Banking,False
http://www.auswebdesign.com.au/,200,WordPress,Business,False
http://www.randyfox.com.au/,200,Magento,Pornography,
http://www.servermule.com.au/,200,WordPress,Information Technology,False
http://www.identitydirect.com.au/,200,Magento,Shopping,
http://www.shiels.com.au/,200,Magento,Business,
http://www.filmink.com.au/,200,WordPress,Entertainment,False
http://www.mobilephonerepairsydney.com.au/,200,WordPress,Business,False
